UBIOTA,POS,UBIOTA AUDIO,TRANSLATION,ILLUSTRATION,UDJE 1,UDJE 1 AUDIO,EXAMPLE 1,UDJE 2,UDJE 2 AUDIO,EXAMPLE 2,RATE ENTRY,Total_Rating_Sum,Rating_Count,_RATE_SUM,_RATE_COUNT
A,,,A,-,A,,-,-,,-,0,,,0,0
Abaka,N,https://archive.org/download/Abaka/Abaka%20.mp3,Grasshopper (n),https://ia601002.us.archive.org/33/items/afioto-re-oyibo-rabbit/Abaka%20-%20grasshopper.png,Abaka riẹ ẹbe rẹ enẹ mẹ na.,https://archive.org/download/aberen-s-2/abaka%20s1.aac,Grashopper ate my yam's leaves.,Ya jẹ abaka na vwo; wo hwe-e.,https://archive.org/download/aberen-s-2/abaka%20s2.aac,Leave the grahopper alone; do not kill it.,5,,,10,2
Abamwa,n,https://archive.org/download/aberen-s-2/abamwa%20.aac,"rag, piece of cloth, torn  piece  of  cloth ",https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/abamwa.jpeg,Abamwa yẹ oku phiyọ rhe etinẹ.,https://archive.org/download/aberen-s-2/abamwa%20s1.aac,It was rag he/she down here.,Biko kẹ vwẹ abamwa mi vwo ririẹ imẹdjẹ na.,https://archive.org/download/aberen-s-2/abamwa%20s2.aac,Please give me a piece of cloth to clean the table,0,,,0,0
abavo,a,https://archive.org/download/aberen-s-2/abavo%20.aac,equal/fair,https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/Abavo.jpeg,Ovwa ghare emu na abavo.,https://archive.org/download/aberen-s-2/abavo%20s1.aac,Share the food (or thing) equally.,Abavo ọ yẹ oguẹdjọ na brẹ orhiẹ na.,https://archive.org/download/aberen-s-2/abavo.aac,The judge gave a fair judgement.,0,,,0,0
Abe,N,https://archive.org/download/aberen-s-2/abe.aac,A species of water yam with red colored leaves and tuber,https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/abe.jpeg,Abe na nabọ vwerhe.,https://archive.org/download/aberen-s-2/abe%20s1.aac,The abe tastes well.,Me kẹ abe phi yẹ udju mẹ.,https://archive.org/download/aberen-s-2/abe%20s2.aac,I planted abe in my farm.,3,,,6,2
Abé,N,https://archive.org/download/aberen-s-2/abe%201%20.aac,Guilty verdict,https://ia801002.us.archive.org/33/items/afioto-re-oyibo-rabbit/abe1.jpeg,"Nighere, e brẹ orhiẹ hwe we; wọ riẹ abe՛.",https://archive.org/download/aberen-s-2/abe%201%20s1.aac,"Look, the verdict is against you; you are guilty",Me riẹ abe՛ rẹ ota nana-a.,https://archive.org/download/aberen-s-2/abe%201%20s2.aac,I am not guilty in this matter.,0,,,0,0
abémuó,n,https://archive.org/download/aberen-s-2/abemuo.aac,Wrestling - The act of wrestling,https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/abemuo.jpeg,E jẹ a vwẹ abémuó vwo vughẹ ohwo rẹ ọma goma.,https://archive.org/download/aberen-s-2/abemuo%20s1.aac,Let us use wrestling to determine the strongest person.,Avwaren kpẹ abémuó vwẹ obẹ ọgua rẹ ọkaorho.,https://archive.org/download/aberen-s-2/abemuo%20s2.aac,We are going for a wrestling at the chief's court.,0,,,0,0
abẹrẹn,n,https://archive.org/download/aberen-s-2/aberen.aac,royal sword,https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/aberen%20royal%20sword.jpg,Inogbozighi chẹ abẹrẹn rẹ ovie na nẹ ọgua rọye.,https://archive.org/download/aberen-s-2/aberen%20s1.aac,Hooligans have stolen the king's royal sword from his palace.,Ọsẹ mẹ rode ọye ri dẹ abẹrẹn na miẹ ọneki oyibo re se Winterson.,https://archive.org/download/aberen-s-2/aberen%20s2.aac,It was my grand father who bought the royal sword from a white trader called Winterson.,0,,,0,0
abérha,adv,https://archive.org/download/aberen-s-2/aberha.aac,thrice,https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/aberha.jpeg,Abérha yẹ ọkpako nyẹ ota.,https://archive.org/download/aberen-s-2/aberha%20s1.aac,It is thrice an elder hears an utterance.,Aberha Otiti riẹ emu odẹye.,https://archive.org/download/aberen-s-2/aberha%20s2.aac,Otiti ate thrice yesterday.,0,,,0,0
abívẹ,adv,https://archive.org/download/aberen-s-2/abive%20.aac,twice,https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/abive.jpeg,Ọna ọvwọ gba abivẹ oravwọ nana phiare.,https://archive.org/download/aberen-s-2/abive%20s1.aac,This made twice this thing has happened.,Jẹ o ruo abivẹ tavwe wo ki ruo keri.,https://archive.org/download/aberen-s-2/abive%20s2.aac,Let him/her do it twice before you retalliate.,0,,,0,0
Abọ,N,https://archive.org/download/aberen-s-2/abo.aac,Wrestling,https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/abo.jpeg,Mọ e mu abọ.,https://archive.org/download/aberen-s-2/abo%20s1.aac,Come let's wrestle.,Abọ emuo yoma mamọ.,https://archive.org/download/aberen-s-2/abo%20s2.aac,Wrestling is very good.,0,,,0,0
Abọ,n(pl),https://archive.org/download/aberen-s-2/abo%201.aac,hands,https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/abo%201.jpeg,Riẹ abọ wẹ kẹ vwẹ.,https://archive.org/download/aberen-s-2/abo%201%20s1.aac,Stretch your hands towards me.,Ra a hworhẹ abọ wẹ.,https://archive.org/download/aberen-s-2/abo%201%20s2.aac,Go and wash your hands.,0,,,0,0
